security_id,symbol,name,series,tick_size,lot_size,instrument_type,segment,exchange,upper_limit,lower_limit,expiry_date,strike_price,freeze_quantity
64786,NIFTY-Dec2023-18450-PE,NIFTY 28 DEC 18450 PUT,,5,50,OPTIDX,D,NSE,5.45,0.05,28-12-2023 14:00,18450,1801
64787,NIFTY-Dec2023-18500-PE,NIFTY 28 DEC 18500 PUT,,5,50,OPTIDX,D,NSE,5.75,0.05,28-12-2023 14:00,18500,1801
64792,NIFTY-Dec2023-18550-CE,NIFTY 28 DEC 18550 CALL,,5,50,OPTIDX,D,NSE,3161.1,2094,28-12-2023 14:00,18550,1801
64793,NIFTY-Dec2023-18550-PE,NIFTY 28 DEC 18550 PUT,,5,50,OPTIDX,D,NSE,5.1,0.05,28-12-2023 14:00,18550,1801
64794,NIFTY-Dec2023-18600-CE,NIFTY 28 DEC 18600 CALL,,5,50,OPTIDX,D,NSE,3111.2,2044.1,28-12-2023 14:00,18600,1801
64795,NIFTY-Dec2023-18600-PE,NIFTY 28 DEC 18600 PUT,,5,50,OPTIDX,D,NSE,5.7,0.05,28-12-2023 14:00,18600,1801
64800,NIFTY-Dec2023-18650-CE,NIFTY 28 DEC 18650 CALL,,5,50,OPTIDX,D,NSE,3061.25,1994.15,28-12-2023 14:00,18650,1801
64801,NIFTY-Dec2023-18650-PE,NIFTY 28 DEC 18650 PUT,,5,50,OPTIDX,D,NSE,5.8,0.05,28-12-2023 14:00,18650,1801
64814,NIFTY-Dec2023-18700-CE,NIFTY 28 DEC 18700 CALL,,5,50,OPTIDX,D,NSE,2975.25,1908.15,28-12-2023 14:00,18700,1801
64815,NIFTY-Dec2023-18700-PE,NIFTY 28 DEC 18700 PUT,,5,50,OPTIDX,D,NSE,5.5,0.05,28-12-2023 14:00,18700,1801
64820,NIFTY-Dec2023-18750-CE,NIFTY 28 DEC 18750 CALL,,5,50,OPTIDX,D,NSE,2961.4,1894.3,28-12-2023 14:00,18750,1801
64827,NIFTY-Dec2023-18750-PE,NIFTY 28 DEC 18750 PUT,,5,50,OPTIDX,D,NSE,5.6,0.05,28-12-2023 14:00,18750,1801
64832,NIFTY-Dec2023-18800-CE,NIFTY 28 DEC 18800 CALL,,5,50,OPTIDX,D,NSE,2996.2,1929.1,28-12-2023 14:00,18800,1801
64833,NIFTY-Dec2023-18800-PE,NIFTY 28 DEC 18800 PUT,,5,50,OPTIDX,D,NSE,5.4,0.05,28-12-2023 14:00,18800,1801
64834,NIFTY-Dec2023-18850-CE,NIFTY 28 DEC 18850 CALL,,5,50,OPTIDX,D,NSE,2861.55,1794.45,28-12-2023 14:00,18850,1801
64835,NIFTY-Dec2023-18850-PE,NIFTY 28 DEC 18850 PUT,,5,50,OPTIDX,D,NSE,5.8,0.05,28-12-2023 14:00,18850,1801
64838,NIFTY-Dec2023-18900-CE,NIFTY 28 DEC 18900 CALL,,5,50,OPTIDX,D,NSE,2856.9,1789.8,28-12-2023 14:00,18900,1801
64839,NIFTY-Dec2023-18900-PE,NIFTY 28 DEC 18900 PUT,,5,50,OPTIDX,D,NSE,6,0.05,28-12-2023 14:00,18900,1801
64844,NIFTY-Dec2023-18950-CE,NIFTY 28 DEC 18950 CALL,,5,50,OPTIDX,D,NSE,2813.55,1746.45,28-12-2023 14:00,18950,1801
64845,NIFTY-Dec2023-18950-PE,NIFTY 28 DEC 18950 PUT,,5,50,OPTIDX,D,NSE,6.05,0.05,28-12-2023 14:00,18950,1801
64846,NIFTY-Dec2023-19050-CE,NIFTY 28 DEC 19050 CALL,,5,50,OPTIDX,D,NSE,2703.55,1636.45,28-12-2023 14:00,19050,1801
64847,NIFTY-Dec2023-19050-PE,NIFTY 28 DEC 19050 PUT,,5,50,OPTIDX,D,NSE,5.7,0.05,28-12-2023 14:00,19050,1801
64852,NIFTY-Dec2023-19100-CE,NIFTY 28 DEC 19100 CALL,,5,50,OPTIDX,D,NSE,2646.05,1578.95,28-12-2023 14:00,19100,1801
64853,NIFTY-Dec2023-19100-PE,NIFTY 28 DEC 19100 PUT,,5,50,OPTIDX,D,NSE,6.1,0.1,28-12-2023 14:00,19100,1801
64868,NIFTY-Dec2023-19150-CE,NIFTY 28 DEC 19150 CALL,,5,50,OPTIDX,D,NSE,2562,1494.9,28-12-2023 14:00,19150,1801
64869,NIFTY-Dec2023-19150-PE,NIFTY 28 DEC 19150 PUT,,5,50,OPTIDX,D,NSE,6,0.05,28-12-2023 14:00,19150,1801
64870,NIFTY-Dec2023-19200-CE,NIFTY 28 DEC 19200 CALL,,5,50,OPTIDX,D,NSE,2567.35,1500.25,28-12-2023 14:00,19200,1801
